# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 2, patternSize = 2)

# Run progress: 0,00% complete, ETA 01:48:48
# Fork: 1 of 1
# Warmup Iteration   1: 0,132 ms/op
Iteration   1: 0,127 ms/op
Iteration   2: 0,137 ms/op


Result "benchmarkFind":
  0,132 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 2, patternSize = 4)

# Run progress: 0,05% complete, ETA 02:08:37
# Fork: 1 of 1
# Warmup Iteration   1: 0,485 ms/op
Iteration   1: 0,443 ms/op
Iteration   2: 0,443 ms/op


Result "benchmarkFind":
  0,443 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 2, patternSize = 8)

# Run progress: 0,09% complete, ETA 02:05:39
# Fork: 1 of 1
# Warmup Iteration   1: 32,731 ms/op
Iteration   1: 31,935 ms/op
Iteration   2: 32,072 ms/op


Result "benchmarkFind":
  32,004 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 2, patternSize = 16)

# Run progress: 0,14% complete, ETA 02:06:18
# Fork: 1 of 1
# Warmup Iteration   1: 544,685 ms/op
Iteration   1: 551,318 ms/op
Iteration   2: 541,133 ms/op


Result "benchmarkFind":
  546,225 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 2, patternSize = 32)

# Run progress: 0,18% complete, ETA 02:14:04
# Fork: 1 of 1
# Warmup Iteration   1: 544,459 ms/op
Iteration   1: 547,590 ms/op
Iteration   2: 544,896 ms/op


Result "benchmarkFind":
  546,243 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 2, patternSize = 64)

# Run progress: 0,23% complete, ETA 02:18:43
# Fork: 1 of 1
# Warmup Iteration   1: 547,868 ms/op
Iteration   1: 540,055 ms/op
Iteration   2: 545,158 ms/op


Result "benchmarkFind":
  542,607 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 2, patternSize = 128)

# Run progress: 0,28% complete, ETA 02:21:57
# Fork: 1 of 1
# Warmup Iteration   1: 546,112 ms/op
Iteration   1: 548,072 ms/op
Iteration   2: 544,176 ms/op


Result "benchmarkFind":
  546,124 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 2, patternSize = 256)

# Run progress: 0,32% complete, ETA 02:24:05
# Fork: 1 of 1
# Warmup Iteration   1: 569,303 ms/op
Iteration   1: 544,106 ms/op
Iteration   2: 547,390 ms/op


Result "benchmarkFind":
  545,748 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 4, patternSize = 2)

# Run progress: 0,37% complete, ETA 02:25:52
# Fork: 1 of 1
# Warmup Iteration   1: 0,434 ms/op
Iteration   1: 0,406 ms/op
Iteration   2: 0,404 ms/op


Result "benchmarkFind":
  0,405 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 4, patternSize = 4)

# Run progress: 0,41% complete, ETA 02:23:11
# Fork: 1 of 1
# Warmup Iteration   1: 22,811 ms/op
Iteration   1: 22,248 ms/op
Iteration   2: 22,074 ms/op


Result "benchmarkFind":
  22,161 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
# VM invoker: C:\Program Files\Java\jre1.8.0_31\bin\java.exe
# VM options: <none>
# Warmup: 1 iterations, 1 s each
# Measurement: 2 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind
# Parameters: (alphabetSize = 4, patternSize = 8)

# Run progress: 0,46% complete, ETA 02:21:18
# Fork: 1 of 1
# Warmup Iteration   1: 306,754 ms/op
Iteration   1: 302,598 ms/op
Iteration   2: 305,178 ms/op


Result "benchmarkFind":
  303,888 ms/op


# JMH 1.11.2 (released 43 days ago)
# VM version: JDK 1.8.0_31, VM 25.31-b07
