"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: alphabetSize","Param: patternNumber","Param: patternSize"
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"159,533778","82,586430","ms/op",2,,2
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"434,042534","48,644033","ms/op",2,,4
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"2433,302769","47,202349","ms/op",2,,8
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"2955,336844","322,935070","ms/op",2,,16
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"3065,354421","21,598750","ms/op",2,,32
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"2872,830253","29,538104","ms/op",2,,64
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"2976,861922","27,480182","ms/op",2,,128
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"2998,964482","39,159126","ms/op",2,,256
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"3059,391249","24,234405","ms/op",2,,512
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"2941,300070","49,106948","ms/op",2,,1024
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"318,766157","55,527162","ms/op",4,,2
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"1453,251004","45,364955","ms/op",4,,4
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"1866,693403","316,126484","ms/op",4,,8
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"1783,715985","44,961211","ms/op",4,,16
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"1772,904184","7,214092","ms/op",4,,32
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"1781,224489","27,162051","ms/op",4,,64
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"1797,466978","22,360819","ms/op",4,,128
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"1774,954617","81,436867","ms/op",4,,256
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"1845,290846","31,573637","ms/op",4,,512
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"1736,640671","22,095868","ms/op",4,,1024
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"539,017382","71,614500","ms/op",8,,2
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"966,992958","6,363131","ms/op",8,,4
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"930,231344","162,716449","ms/op",8,,8
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"945,233690","9,128338","ms/op",8,,16
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"922,289422","9,005582","ms/op",8,,32
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"957,469773","375,272373","ms/op",8,,64
"com.almondtools.stringbench.JavaIndexOfBenchmark.benchmarkFind","avgt",1,5,"916,740237","16,307352","ms/op",8,,128
