name,family,alphabet,pattern
JavaRegexMulti,SUFFIX,2,2
JavaRegexMulti,SUFFIX,2,4
SCAhoCorasick,PREFIX,2,8
SCAhoCorasick,PREFIX,2,16
SCSetBackwardOracleMatching,FACTOR,2,32
SCSetBackwardOracleMatching,FACTOR,2,64
SCSetBackwardOracleMatching,FACTOR,2,128
SCSetBackwardOracleMatching,FACTOR,2,256
SCSetBackwardOracleMatching,FACTOR,2,512
SCSetBackwardOracleMatching,FACTOR,2,1024
JavaRegexMulti,SUFFIX,4,2
SCAhoCorasick,PREFIX,4,4
SCAhoCorasick,PREFIX,4,8
SCSetBackwardOracleMatching,FACTOR,4,16
SCSetBackwardOracleMatching,FACTOR,4,32
SCSetBackwardOracleMatching,FACTOR,4,64
SCSetBackwardOracleMatching,FACTOR,4,128
SCSetBackwardOracleMatching,FACTOR,4,256
SCSetBackwardOracleMatching,FACTOR,4,512
SCSetBackwardOracleMatching,FACTOR,4,1024
SCWuManber,SUFFIX,8,2
SCAhoCorasick,PREFIX,8,4
SCSetBackwardOracleMatching,FACTOR,8,8
SCSetBackwardOracleMatching,FACTOR,8,16
SCSetBackwardOracleMatching,FACTOR,8,32
SCSetBackwardOracleMatching,FACTOR,8,64
SCSetBackwardOracleMatching,FACTOR,8,128
SCSetBackwardOracleMatching,FACTOR,8,256
SCSetBackwardOracleMatching,FACTOR,8,512
SCSetBackwardOracleMatching,FACTOR,8,1024
SCAhoCorasick,PREFIX,16,2
SCAhoCorasick,PREFIX,16,4
SCSetBackwardOracleMatching,FACTOR,16,8
SCSetBackwardOracleMatching,FACTOR,16,16
SCSetBackwardOracleMatching,FACTOR,16,32
SCSetBackwardOracleMatching,FACTOR,16,64
SCSetBackwardOracleMatching,FACTOR,16,128
SCSetBackwardOracleMatching,FACTOR,16,256
SCSetBackwardOracleMatching,FACTOR,16,512
SCSetBackwardOracleMatching,FACTOR,16,1024
SCAhoCorasick,PREFIX,32,2
SCAhoCorasick,PREFIX,32,4
SCSetBackwardOracleMatching,FACTOR,32,8
SCSetBackwardOracleMatching,FACTOR,32,16
SCSetBackwardOracleMatching,FACTOR,32,32
SCSetBackwardOracleMatching,FACTOR,32,64
SCSetBackwardOracleMatching,FACTOR,32,128
SCSetBackwardOracleMatching,FACTOR,32,256
SCSetBackwardOracleMatching,FACTOR,32,512
SCSetBackwardOracleMatching,FACTOR,32,1024
SCAhoCorasick,PREFIX,64,2
SCAhoCorasick,PREFIX,64,4
SCSetBackwardOracleMatching,FACTOR,64,8
SCSetBackwardOracleMatching,FACTOR,64,16
SCSetBackwardOracleMatching,FACTOR,64,32
SCSetBackwardOracleMatching,FACTOR,64,64
SCSetBackwardOracleMatching,FACTOR,64,128
SCSetBackwardOracleMatching,FACTOR,64,256
SCSetBackwardOracleMatching,FACTOR,64,512
SCSetBackwardOracleMatching,FACTOR,64,1024
SCAhoCorasick,PREFIX,128,2
SCSetHorspool,SUFFIX,128,4
SCSetBackwardOracleMatching,FACTOR,128,8
SCSetBackwardOracleMatching,FACTOR,128,16
SCSetBackwardOracleMatching,FACTOR,128,32
SCSetBackwardOracleMatching,FACTOR,128,64
SCSetBackwardOracleMatching,FACTOR,128,128
SCSetBackwardOracleMatching,FACTOR,128,256
SCSetBackwardOracleMatching,FACTOR,128,512
SCSetBackwardOracleMatching,FACTOR,128,1024
SCSetHorspool,SUFFIX,256,2
SCSetHorspool,SUFFIX,256,4
SCSetBackwardOracleMatching,FACTOR,256,8
SCSetBackwardOracleMatching,FACTOR,256,16
SCSetBackwardOracleMatching,FACTOR,256,32
SCSetBackwardOracleMatching,FACTOR,256,64
SCSetBackwardOracleMatching,FACTOR,256,128
SCSetBackwardOracleMatching,FACTOR,256,256
SCSetBackwardOracleMatching,FACTOR,256,512
SCSetBackwardOracleMatching,FACTOR,256,1024
SCAhoCorasick,PREFIX,512,2
SCSetHorspool,SUFFIX,512,4
SCSetBackwardOracleMatching,FACTOR,512,8
SCSetBackwardOracleMatching,FACTOR,512,16
SCSetBackwardOracleMatching,FACTOR,512,32
SCSetBackwardOracleMatching,FACTOR,512,64
SCSetBackwardOracleMatching,FACTOR,512,128
SCSetBackwardOracleMatching,FACTOR,512,256
SCSetBackwardOracleMatching,FACTOR,512,512
SCSetBackwardOracleMatching,FACTOR,512,1024
SCSetHorspool,SUFFIX,1024,2
SCSetHorspool,SUFFIX,1024,4
SCSetHorspool,SUFFIX,1024,8
SCSetBackwardOracleMatching,FACTOR,1024,16
SCSetBackwardOracleMatching,FACTOR,1024,32
SCSetBackwardOracleMatching,FACTOR,1024,64
SCSetBackwardOracleMatching,FACTOR,1024,128
SCSetBackwardOracleMatching,FACTOR,1024,256
SCSetBackwardOracleMatching,FACTOR,1024,512
SCSetBackwardOracleMatching,FACTOR,1024,1024
