name,family,alphabet,pattern
JavaIndexOf,NAIVE,2,2
JavaIndexOf,NAIVE,2,4
BSHorspoolFinalFlag,SUFFIX,2,8
SCBNDM,FACTOR,2,16
SCBNDM,FACTOR,2,32
SCBNDM,FACTOR,2,64
SCBOM,FACTOR,2,128
SCBOM,FACTOR,2,256
SCBOM,FACTOR,2,512
SCBOM,FACTOR,2,1024
JavaIndexOf,NAIVE,4,2
BSHorspoolFinalFlag,SUFFIX,4,4
BSHorspoolFinalFlag,SUFFIX,4,8
BSHorspoolFinalFlag,SUFFIX,4,16
SCBNDM,FACTOR,4,32
SCBNDM,FACTOR,4,64
SCBOM,FACTOR,4,128
SCBOM,FACTOR,4,256
SCBOM,FACTOR,4,512
SCBOM,FACTOR,4,1024
JavaIndexOf,NAIVE,8,2
BSHorspoolFinalFlag,SUFFIX,8,4
BSHorspoolFinalFlag,SUFFIX,8,8
BSHorspoolFinalFlag,SUFFIX,8,16
BSHorspoolFinalFlag,SUFFIX,8,32
SCBNDM,FACTOR,8,64
SCBOM,FACTOR,8,128
SCBOM,FACTOR,8,256
SCBOM,FACTOR,8,512
SCBOM,FACTOR,8,1024
JavaIndexOf,NAIVE,16,2
BSHorspoolFinalFlag,SUFFIX,16,4
BSHorspoolFinalFlag,SUFFIX,16,8
BSHorspoolFinalFlag,SUFFIX,16,16
BSHorspoolFinalFlag,SUFFIX,16,32
BSHorspoolFinalFlag,SUFFIX,16,64
BSHorspoolFinalFlag,SUFFIX,16,128
BSHorspoolFinalFlag,SUFFIX,16,256
SCBOM,FACTOR,16,512
SCBOM,FACTOR,16,1024
JavaIndexOf,NAIVE,32,2
BSHorspoolFinalFlag,SUFFIX,32,4
BSHorspoolFinalFlag,SUFFIX,32,8
BSHorspoolFinalFlag,SUFFIX,32,16
BSBoyerMooreHorspool,SUFFIX,32,32
BSHorspoolFinalFlag,SUFFIX,32,64
BSHorspoolFinalFlag,SUFFIX,32,128
BSHorspoolFinalFlag,SUFFIX,32,256
BSHorspoolFinalFlag,SUFFIX,32,512
BSHorspoolFinalFlag,SUFFIX,32,1024
JavaIndexOf,NAIVE,64,2
BSHorspoolFinalFlag,SUFFIX,64,4
BSHorspoolFinalFlag,SUFFIX,64,8
BSHorspoolFinalFlag,SUFFIX,64,16
BSHorspoolFinalFlag,SUFFIX,64,32
BSHorspoolFinalFlag,SUFFIX,64,64
BSHorspoolFinalFlag,SUFFIX,64,128
BSHorspoolFinalFlag,SUFFIX,64,256
BSBoyerMooreHorspool,SUFFIX,64,512
BSHorspoolFinalFlag,SUFFIX,64,1024
JavaIndexOf,NAIVE,128,2
BSHorspoolFinalFlag,SUFFIX,128,4
BSHorspoolFinalFlag,SUFFIX,128,8
BSHorspoolFinalFlag,SUFFIX,128,16
BSHorspoolFinalFlag,SUFFIX,128,32
BSHorspoolFinalFlag,SUFFIX,128,64
BSBoyerMooreHorspool,SUFFIX,128,128
BSHorspoolFinalFlag,SUFFIX,128,256
BSBoyerMooreHorspool,SUFFIX,128,512
BSBoyerMooreHorspool,SUFFIX,128,1024
BSHorspoolFinalFlag,SUFFIX,256,2
BSHorspoolFinalFlag,SUFFIX,256,4
BSHorspoolFinalFlag,SUFFIX,256,8
BSHorspoolFinalFlag,SUFFIX,256,16
BSHorspoolFinalFlag,SUFFIX,256,32
BSHorspoolFinalFlag,SUFFIX,256,64
BSHorspoolFinalFlag,SUFFIX,256,128
BSHorspoolFinalFlag,SUFFIX,256,256
BSHorspoolFinalFlag,SUFFIX,256,512
BSHorspoolFinalFlag,SUFFIX,256,1024
BSHorspoolFinalFlag,SUFFIX,512,2
BSHorspoolFinalFlag,SUFFIX,512,4
BSHorspoolFinalFlag,SUFFIX,512,8
BSHorspoolFinalFlag,SUFFIX,512,16
BSHorspoolFinalFlag,SUFFIX,512,32
BSHorspoolFinalFlag,SUFFIX,512,64
BSHorspoolFinalFlag,SUFFIX,512,128
BSHorspoolFinalFlag,SUFFIX,512,256
BSBoyerMooreHorspool,SUFFIX,512,512
BSHorspoolFinalFlag,SUFFIX,512,1024
BSHorspoolFinalFlag,SUFFIX,1024,2
BSHorspoolFinalFlag,SUFFIX,1024,4
BSHorspoolFinalFlag,SUFFIX,1024,8
BSHorspoolFinalFlag,SUFFIX,1024,16
BSBoyerMooreHorspool,SUFFIX,1024,32
BSHorspoolFinalFlag,SUFFIX,1024,64
BSHorspoolFinalFlag,SUFFIX,1024,128
BSHorspoolFinalFlag,SUFFIX,1024,256
BSHorspoolFinalFlag,SUFFIX,1024,512
BSHorspoolFinalFlag,SUFFIX,1024,1024
