name,family,alphabet,pattern
JavaIndexOf,NAIVE,2,2
SCShiftAnd,PREFIX,2,4
SCShiftAnd,PREFIX,2,8
SCShiftAnd,PREFIX,2,16
SCBNDM,FACTOR,2,32
SCBNDM,FACTOR,2,64
SCBOM,FACTOR,2,128
SCBOM,FACTOR,2,256
SCBOM,FACTOR,2,512
SCBOM,FACTOR,2,1024
JavaIndexOf,NAIVE,4,2
SCShiftAnd,PREFIX,4,4
SCBNDM,FACTOR,4,8
SCBNDM,FACTOR,4,16
SCBNDM,FACTOR,4,32
SCBNDM,FACTOR,4,64
SCBOM,FACTOR,4,128
SCBOM,FACTOR,4,256
SCBOM,FACTOR,4,512
SCBOM,FACTOR,4,1024
JavaIndexOf,NAIVE,8,2
JavaRegex,SUFFIX,8,4
SCHorspool,SUFFIX,8,8
SCBNDM,FACTOR,8,16
SCBNDM,FACTOR,8,32
SCBNDM,FACTOR,8,64
SCBOM,FACTOR,8,128
SCBOM,FACTOR,8,256
SCBOM,FACTOR,8,512
SCBOM,FACTOR,8,1024
JavaIndexOf,NAIVE,16,2
JavaIndexOf,NAIVE,16,4
JavaIndexOf,NAIVE,16,8
JavaRegex,SUFFIX,16,16
SCBNDM,FACTOR,16,32
SCBNDM,FACTOR,16,64
SCBOM,FACTOR,16,128
SCBOM,FACTOR,16,256
SCBOM,FACTOR,16,512
SCBOM,FACTOR,16,1024
JavaIndexOf,NAIVE,32,2
JavaIndexOf,NAIVE,32,4
JavaIndexOf,NAIVE,32,8
JavaRegex,SUFFIX,32,16
SCHorspool,SUFFIX,32,32
SCBNDM,FACTOR,32,64
SCHorspool,SUFFIX,32,128
SCBOM,FACTOR,32,256
SCBOM,FACTOR,32,512
SCBOM,FACTOR,32,1024
JavaIndexOf,NAIVE,64,2
JavaIndexOf,NAIVE,64,4
JavaIndexOf,NAIVE,64,8
JavaRegex,SUFFIX,64,16
SCHorspool,SUFFIX,64,32
SCHorspool,SUFFIX,64,64
SCBOM,FACTOR,64,128
SCBOM,FACTOR,64,256
SCBOM,FACTOR,64,512
SCBOM,FACTOR,64,1024
JavaIndexOf,NAIVE,128,2
JavaIndexOf,NAIVE,128,4
JavaIndexOf,NAIVE,128,8
SCHorspool,SUFFIX,128,16
SCHorspool,SUFFIX,128,32
SCHorspool,SUFFIX,128,64
SCSunday,SUFFIX,128,128
SCBOM,FACTOR,128,256
SCBOM,FACTOR,128,512
SCBOM,FACTOR,128,1024
JavaIndexOf,NAIVE,256,2
JavaIndexOf,NAIVE,256,4
JavaIndexOf,NAIVE,256,8
JavaIndexOf,NAIVE,256,16
SCHorspool,SUFFIX,256,32
SCSunday,SUFFIX,256,64
SCSunday,SUFFIX,256,128
SCSunday,SUFFIX,256,256
SCBOM,FACTOR,256,512
SCBOM,FACTOR,256,1024
JavaIndexOf,NAIVE,512,2
JavaIndexOf,NAIVE,512,4
JavaIndexOf,NAIVE,512,8
JavaIndexOf,NAIVE,512,16
JavaRegex,SUFFIX,512,32
JavaRegex,SUFFIX,512,64
SCHorspool,SUFFIX,512,128
SCSunday,SUFFIX,512,256
SCBOM,FACTOR,512,512
SCHorspool,SUFFIX,512,1024
JavaIndexOf,NAIVE,1024,2
JavaIndexOf,NAIVE,1024,4
JavaIndexOf,NAIVE,1024,8
JavaIndexOf,NAIVE,1024,16
JavaRegex,SUFFIX,1024,32
JavaRegex,SUFFIX,1024,64
SCHorspool,SUFFIX,1024,128
SCBOM,FACTOR,1024,256
SCSunday,SUFFIX,1024,512
SCHorspool,SUFFIX,1024,1024
