"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: alphabetSize","Param: patternSize"
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"285,875193","26,048429","ms/op",2,2
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"797,852735","44,276096","ms/op",2,4
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"3045,183800","504,893583","ms/op",2,8
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2698,338838","27,149819","ms/op",2,16
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2263,998614","32,427986","ms/op",2,32
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2058,080420","93,878926","ms/op",2,64
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1912,287717","255,550079","ms/op",2,128
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1625,693138","14,637262","ms/op",2,256
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1544,537793","17,000593","ms/op",2,512
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1473,721485","9,096945","ms/op",2,1024
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"733,903659","113,142942","ms/op",4,2
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2700,074998","341,081278","ms/op",4,4
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2618,471403","124,346107","ms/op",4,8
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2220,362532","64,444662","ms/op",4,16
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2507,252365","679,153290","ms/op",4,32
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2055,246056","210,416271","ms/op",4,64
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1809,017339","47,892544","ms/op",4,128
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1801,574717","399,062918","ms/op",4,256
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1609,550534","11,281930","ms/op",4,512
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1566,668930","58,371114","ms/op",4,1024
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2039,132820","1196,119998","ms/op",8,2
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2519,531240","123,881547","ms/op",8,4
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1898,858770","17,873507","ms/op",8,8
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1664,907824","379,959666","ms/op",8,16
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1608,607062","16,190517","ms/op",8,32
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1513,927011","19,581662","ms/op",8,64
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1507,467964","27,470393","ms/op",8,128
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1475,706005","148,904672","ms/op",8,256
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1381,609042","17,090365","ms/op",8,512
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1348,289261","18,685133","ms/op",8,1024
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2788,874118","337,669378","ms/op",16,2
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"2274,891214","228,758149","ms/op",16,4
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1647,039008","26,207229","ms/op",16,8
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1393,449377","19,826065","ms/op",16,16
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1280,598151","6,857896","ms/op",16,32
"com.almondtools.stringbench.singlepattern.esmaj.EJTBMBenchmark.benchmarkFindInFile","avgt",1,5,"1249,103895","19,917778","ms/op",16,64
