"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: alphabetSize","Param: patternNumber","Param: patternSize"
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"67,174094","4,424273","ms/op",2,2,2
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"49,721842","1,456699","ms/op",2,2,4
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"46,903285","1,349480","ms/op",2,2,8
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"53,308232","7,786403","ms/op",2,2,16
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"53,846672","7,733961","ms/op",2,2,32
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"51,912472","0,600532","ms/op",2,2,64
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"51,773932","0,976980","ms/op",2,2,128
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"51,616872","0,988078","ms/op",2,2,256
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"52,215774","1,042545","ms/op",2,2,512
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"52,598297","2,466811","ms/op",2,2,1024
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"136,368070","14,751663","ms/op",2,8,2
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"211,587476","13,915445","ms/op",2,8,4
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"179,363417","1,449616","ms/op",2,8,8
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"169,699227","5,984509","ms/op",2,8,16
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"189,166778","3,299101","ms/op",2,8,32
"com.almondtools.stringbench.multipattern.jdk.JavaIndexOfMultiBenchmark.benchmarkFindInFile","avgt",1,5,"196,170089","2,439424","ms/op",2,8,64
